Region_Lvl2,ActualSales
2,69073513.48315
7,41824189.515530005
12,35981989.36112
20,32837796.11521
39,30486183.49182
11,27377281.43304
30,26936286.41686
4,16022781.4126
31,13697824.4897
36,13315439.44855
37,12211847.53098
9,11795893.09539
53,11124215.66616
42,9921612.52213
60,9715642.81453
3,9570483.241209999
57,9442987.16329
133,9320482.243520001
56,9116848.68584
40,8401198.39136
24,8086873.068539999
17,7943628.75428
44,7879121.29786
10,7847485.98709
8,7386891.54629
109,6934277.790990001
105,6774932.3185
23,6705835.77018
69,6683210.90908
86,6489620.729040001
43,6240203.97975
92,6139762.13566
87,5984235.31704
34,5869030.12755
67,5736125.58626
41,5492597.7761
32,5476145.54153
1,5298542.83384
26,5243840.3100000005
146,5034357.04431
64,4877623.605099999
74,4542243.14055
50,4361195.05466
153,4217966.24302
158,4176929.9642000003
71,3877705.45878
65,3650562.1778700002
61,3530848.7843
6,3493284.9341700003
22,3341891.56752
68,3126531.17422
99,3083560.6535400003
122,3015110.3641
138,3006933.57573
205,2924090.8964400003
79,2889796.56996
150,2819349.34269
152,2794057.08181
186,2755301.2700300002
72,2742008.08976
14,2659923.40422
107,2603752.29715
85,2528841.26446
13,2506675.20709
174,2489253.21509
121,2427455.28972
213,2422095.75979
66,2407902.63661
147,2371868.27286
94,2358699.11355
161,2352132.1193500003
55,2347515.02782
142,2344063.84932
131,2285916.10547
5,2278959.01473
46,2225299.91213
155,2197860.222
18,2195282.51595
97,2188855.0980599998
195,2167119.95025
95,2150771.1719400003
59,2147477.33976
70,2134644.96696
172,2128013.06213
200,2126568.2073999997
111,2125673.74841
148,2090883.33809
81,2089063.09849
120,2043520.83025
103,2034066.28852
201,1946045.94507
214,1942473.27665
76,1873707.2927
185,1743104.46864
106,1691678.53427
96,1668517.35634
220,1644860.35822
154,1640476.64967
130,1632082.29732
52,1617652.36371
80,1600109.56728
212,1551321.71481
54,1535294.32585
28,1497328.25128
140,1487941.73125
156,1480358.31357
63,1469108.9481
129,1440844.56077
49,1412477.19175
100,1358535.98365
90,1354714.00779
171,1348342.32551
48,1340325.67815
149,1296030.1053
119,1282538.92388
78,1279732.58055
183,1273726.42263
38,1270799.06395
132,1258083.27718
207,1256742.51147
176,1254404.516
45,1253078.09285
141,1252431.93943
175,1214197.10005
123,1212858.39081
73,1205717.64148
33,1200914.57124
127,1179391.45076
170,1155444.75402
25,1153748.27173
143,1147535.09583
124,1140811.2826099999
177,1139211.45441
159,1127505.65806
216,1115476.52135
128,1109537.69964
139,1106715.43185
206,1105080.74912
197,1103751.2676300001
15,1080075.76128
164,1053442.52377
104,1049425.0778
204,1049118.87469
113,1045700.65244
202,1040964.86568
114,1028459.6298
145,1014666.72732
108,995542.50546
58,990814.89185
134,986752.46719
77,944841.60859
101,934847.05893
187,927562.51489
84,918509.24846
219,915025.7992
198,904729.79213
125,880724.67055
179,878951.04427
144,871428.26609
209,863580.67111
196,847856.9014900001
110,840085.65955
169,834972.11507
21,828894.08616
91,821855.1584600001
217,817548.27752
47,817214.12751
218,814160.1641
178,801337.33543
173,797785.81174
19,793810.6025
82,784262.14864
75,784072.53156
184,762806.9444
117,752948.96544
16,750280.08922
199,739645.5028199999
83,738775.45782
208,735798.1638300001
215,730313.24196
102,693897.37666
157,688305.62381
89,683248.39497
27,669364.1114
98,657249.0247899999
51,634900.25797
160,617933.80044
162,583772.93359
88,579656.61887
181,568757.27514
112,563240.82073
180,506892.48813
221,487334.61475
116,456644.85834
166,451552.45859
188,447543.7658
135,424903.71846
136,424712.94132
191,402678.49803
115,392819.67539
192,387528.32535
210,381715.1065
167,370744.63
190,353496.06697
163,346279.59736
203,343883.17705
35,341350.92426
118,322889.36031
211,272916.66474
62,246131.30117999998
193,227752.68152
194,204863.90677
93,198877.52260000003
137,197252.33127
151,178752.11623
182,141308.59596
168,133405.47629
189,115286.60461000001
165,114974.28482
126,37672.63212
29,16302.164990000001
0,3919.05179
